resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,8.5827,space,32.7757,space,17.2106,space,1,0.4628,0,0,0,10,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4304,0,1,1,5,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,2,2,14,1,K,none,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3369,0,3,3,7,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3693,0,4,4,4,1,W,none,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5911,0,5,5,8,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3905,0,6,6,1,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.371,0,7,7,11,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5011,0,8,8,13,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4317,0,9,9,6,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4048,0,10,10,2,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3654,0,11,11,12,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4467,0,12,12,0,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,13,13,9,1,V,none,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3331,0,14,14,3,1,X,space,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,space,5.9883,space,1,0.3869,0,0,0,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.696,0,1,1,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.258,0,2,2,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2303,0,3,3,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3272,0,4,4,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3274,0,5,5,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,1,,0,6,6,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2367,0,7,7,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2648,0,8,8,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3064,0,9,9,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2466,0,10,10,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,1,,0,11,11,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3306,0,12,12,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.363,0,13,13,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2043,0,14,14,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3722,0,15,15,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,1,,0,16,16,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2577,0,17,17,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.253,0,18,18,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2302,0,19,19,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2652,0,20,20,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,0,0.1888,0,21,21,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4123,0,22,22,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2582,0,23,23,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.292,0,24,24,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,1,,0,25,25,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,0,0.1957,0,26,26,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3771,0,27,27,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2792,0,28,28,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.251,0,29,29,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2479,0,30,30,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2399,0,31,31,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,0,0.1968,0,32,32,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,1,,0,33,33,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3015,0,34,34,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,,1,,0,35,35,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3078,0,36,36,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM09K,001,PUM09K,2024-01-30_08h44.35.063,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2438,0,37,37,11,1,X,space,,,,,,,,,,,,,,
