resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,200.7268,space,35.3182,space,18.3734,space,1,0.6803,0,0,0,0,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3717,0,1,1,5,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5514,0,2,2,11,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,14,1,K,none,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4567,0,4,4,2,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4257,0,5,5,8,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4026,0,6,6,13,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3514,0,7,7,12,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4523,0,8,8,3,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4265,0,9,9,7,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,10,10,9,1,V,none,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,11,11,4,1,W,none,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3498,0,12,12,10,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4512,0,13,13,6,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4099,0,14,14,1,1,X,space,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,space,8.6327,space,1,0.3976,0,0,0,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2444,0,1,1,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2412,0,2,2,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4514,0,3,3,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3928,0,4,4,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2946,0,5,5,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,1,,0,6,6,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2919,0,7,7,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3099,0,8,8,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2924,0,9,9,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3016,0,10,10,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2961,0,11,11,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,1,,0,12,12,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,,1,,0,13,13,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4191,0,14,14,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3421,0,15,15,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2434,0,16,16,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2822,0,17,17,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2259,0,18,18,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3,0,19,19,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2819,0,20,20,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.222,0,21,21,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2455,0,22,22,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2093,0,23,23,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,1,0.24,0,24,24,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM13K,001,PUM13K,2024-02-22_08h26.28.600,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2277,0,25,25,24,1,H,none,,,,,,,,,,,,,,
