resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,11.33,space,13.155,space,11.5027,,1,0,0,0,4,1,W,none,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.5493,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,3,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,3,3,9,1,V,none,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,7,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,2,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.2928,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,5,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.3696,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,6,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.4521,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,8,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.4413,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,14,1,K,none,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,0,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.3634,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,10,1,X,space,PUM16B,001,PUMB16B,2023-10-30_07h54.46.251,Trial go no go,2020.2.10,Win32,60,0.2952,,,,,,,,,,,,,,,,,,,,,,,,,,
