resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,12.7362,space,13.214,space,6.1594,space,1,0.591,0,0,0,5,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4845,0,1,1,12,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.4362,0,2,2,4,1,W,none,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,14,1,K,none,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6338,0,4,4,7,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,9,1,V,none,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4575,0,6,6,10,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4593,0,7,7,8,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4606,0,8,8,11,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4945,0,9,9,6,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4674,0,10,10,1,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5176,0,11,11,3,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4509,0,12,12,0,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4039,0,13,13,2,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.421,0,14,14,13,1,X,space,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,space,4.9988,,0,0,0,0,38,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,1,0,1,1,24,1,H,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,2,2,42,1,X,space,0.3588,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,3,3,27,1,X,space,0.3837,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,4,4,47,1,X,space,0.2775,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,5,5,22,1,X,space,0.3174,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,0,0,6,6,19,1,K,none,0.2914,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,7,7,15,1,X,space,0.4102,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,8,8,45,1,X,space,0.4011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,0,0,9,9,14,1,Y,none,0.4083,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,1,0,10,10,9,1,W,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,11,11,0,1,X,space,0.3741,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,12,12,26,1,X,space,0.4002,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,13,13,8,1,X,space,0.4686,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,14,14,11,1,X,space,0.3839,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,15,15,7,1,X,space,0.4029,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,,1,0,16,16,4,1,V,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,17,17,31,1,X,space,0.3689,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,18,18,18,1,X,space,0.3921,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,19,19,33,1,X,space,0.3836,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM16K,001,PUM16K,2024-02-29_08h29.22.837,Trial go no go,2020.2.10,Win32,60,,,space,1,0,20,20,28,1,X,space,0.3903,,,,,,,,,,,,,,
