resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,17.0516,space,23.7794,space,15.5909,space,1,0.7554,0,0,0,1,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4879,0,1,1,10,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4639,0,2,2,8,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4314,0,3,3,11,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.409,0,4,4,3,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3766,0,5,5,12,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3551,0,6,6,6,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,4,1,W,none,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3446,0,8,8,5,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3849,0,9,9,7,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3831,0,10,10,13,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,11,11,9,1,V,none,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,12,12,14,1,K,none,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3263,0,13,13,0,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3537,0,14,14,2,1,X,space,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,space,7.5021,space,1,0.3939,0,0,0,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4309,0,1,1,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2856,0,2,2,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3136,0,3,3,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2525,0,4,4,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2449,0,5,5,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,1,,0,6,6,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2787,0,7,7,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4102,0,8,8,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4034,0,9,9,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.334,0,10,10,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3471,0,11,11,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2383,0,12,12,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2864,0,13,13,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2642,0,14,14,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,1,,0,15,15,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,1,,0,16,16,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,1,,0,17,17,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2945,0,18,18,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3337,0,19,19,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3704,0,20,20,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2879,0,21,21,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2579,0,22,22,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2329,0,23,23,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3341,0,24,24,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3062,0,25,25,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2864,0,26,26,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2926,0,27,27,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3129,0,28,28,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,1,,0,29,29,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2792,0,30,30,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3205,0,31,31,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2931,0,32,32,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2368,0,33,33,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2581,0,34,34,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,1,,0,35,35,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.274,0,36,36,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2718,0,37,37,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,0,0.2818,0,38,38,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,0,0.4131,0,39,39,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,0,,0,40,40,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2783,0,41,41,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2576,0,42,42,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2332,0,43,43,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2442,0,44,44,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2586,0,45,45,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2368,0,46,46,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2792,0,47,47,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.252,0,48,48,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2861,0,49,49,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,z,22.1765,space,1,0.5189,0,0,0,10,1,H,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4065,0,1,1,0,1,W,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,2,2,44,1,X,none,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,3,3,14,1,X,none,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3268,0,4,4,2,1,R,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4587,0,5,5,6,1,I,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3304,0,6,6,20,1,E,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,7,7,9,1,X,none,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.341,0,8,8,17,1,M,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.309,0,9,9,42,1,Y,space,,
,,,,,,,,,,,,,,,,PUM17B,001,PUM17B,2023-10-31_08h40.41.804,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.2869,0,10,10,36,1,M,space,,
