resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,35.8836,space,16.8548,space,10.2614,,1,0,0,0,4,1,W,none,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,0,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.6385,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,5,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,7,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.4506,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,13,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.3866,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,10,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.4174,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,1,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.3889,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.3909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,8,8,14,1,K,none,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,2,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.6002,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,10,10,9,1,V,none,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,6,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.5506,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,3,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.4504,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,11,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.4345,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,12,1,X,space,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,space,7.1249,,1,0,0,0,29,1,T,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,1,1,13,1,X,space,0.3396,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,2,2,12,1,X,space,0.3503,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,,1,0,3,3,24,1,H,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,4,4,1,1,X,space,0.3448,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,5,5,7,1,X,space,0.3863,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,6,6,47,1,X,space,0.3294,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,7,7,38,1,X,space,0.3681,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,,1,0,8,8,44,1,F,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,9,9,27,1,X,space,0.3173,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,10,10,45,1,X,space,0.3562,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM19K,001,PUM19K,2024-03-06_08h24.47.279,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,11,11,11,1,X,space,0.3947,,,,,,,,,,,,,,
