resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,29.4511,space,23.7401,space,10.662,,0,0,0,0,13,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,10,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.4248,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,12,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,8,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,4,4,9,1,V,none,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,0,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.5771,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,1,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.4598,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,7,7,4,1,W,none,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.4684,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,3,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.4734,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,11,1,X,space,PUM21B,001,PUM21B,2023-11-28_09h03.53.125,Trial go no go,2020.2.10,Win32,60,0.4621,,,,,,,,,,,,,,,,,,,,,,,,,,
