resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,13.7683,space,22.2944,space,13.8688,space,1,0.6377,0,0,0,12,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6461,0,1,1,1,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,2,2,9,1,V,none,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4568,0,3,3,3,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,4,4,14,1,K,none,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4656,0,5,5,0,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,4,1,W,none,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4238,0,7,7,10,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6806,0,8,8,8,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5902,0,9,9,13,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3754,0,10,10,6,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3476,0,11,11,11,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4032,0,12,12,2,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4103,0,13,13,7,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4033,0,14,14,5,1,X,space,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,space,12.1055,space,1,0.4018,0,0,0,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4055,0,1,1,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3758,0,2,2,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2611,0,3,3,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,4,4,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3058,0,5,5,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,6,6,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3273,0,7,7,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3482,0,8,8,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,9,9,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2647,0,10,10,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4385,0,11,11,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,12,12,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3061,0,13,13,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3024,0,14,14,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2861,0,15,15,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,16,16,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,0,0.267,0,17,17,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,0,,0,18,18,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3546,0,19,19,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2519,0,20,20,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3615,0,21,21,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,22,22,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3776,0,23,23,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3862,0,24,24,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2994,0,25,25,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3337,0,26,26,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3361,0,27,27,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.294,0,28,28,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2874,0,29,29,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3408,0,30,30,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3296,0,31,31,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.293,0,32,32,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2368,0,33,33,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2996,0,34,34,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,35,35,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2715,0,36,36,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2942,0,37,37,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.293,0,38,38,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2788,0,39,39,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2744,0,40,40,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2302,0,41,41,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2231,0,42,42,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2116,0,43,43,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2248,0,44,44,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,45,45,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2518,0,46,46,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3409,0,47,47,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,1,,0,48,48,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2504,0,49,49,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,z,22.5595,space,1,0.6384,0,0,0,40,1,R,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3336,0,1,1,10,1,H,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3508,0,2,2,7,1,A,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,3,3,44,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3226,0,4,4,33,1,V,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4114,0,5,5,48,1,K,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,0,0.2942,0,6,6,19,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3891,0,7,7,32,1,Z,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3365,0,8,8,20,1,E,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4934,0,9,9,43,1,I,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.2786,0,10,10,41,1,T,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3623,0,11,11,0,1,W,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3268,0,12,12,31,1,L,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.274,0,13,13,15,1,V,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4241,0,14,14,26,1,A,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.2713,0,15,15,45,1,A,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3149,0,16,16,22,1,T,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,0,0.3236,0,17,17,39,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3827,0,18,18,2,1,R,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4062,0,19,19,8,1,F,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3293,0,20,20,25,1,I,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.2854,0,21,21,47,1,H,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3818,0,22,22,12,1,L,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3203,0,23,23,35,1,N,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,24,24,34,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,25,25,4,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4059,0,26,26,42,1,Y,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3616,0,27,27,46,1,F,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3962,0,28,28,17,1,M,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3563,0,29,29,37,1,W,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3268,0,30,30,5,1,Y,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,31,31,24,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3203,0,32,32,3,1,T,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.331,0,33,33,23,1,Y,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3197,0,34,34,30,1,K,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3339,0,35,35,11,1,K,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3212,0,36,36,36,1,M,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,37,37,49,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.2935,0,38,38,1,1,E,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3774,0,39,39,13,1,Z,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3267,0,40,40,16,1,N,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.4518,0,41,41,38,1,E,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3335,0,42,42,6,1,I,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,43,43,14,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3684,0,44,44,28,1,H,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3062,0,45,45,18,1,W,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,46,46,9,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3336,0,47,47,27,1,F,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,,0,48,48,29,1,X,none,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,space,1,0.3026,0,49,49,21,1,R,space,,
,,,,,,,,,,,,,,,,Szczecin,001,PUM15B,2023-10-26_08h31.57.425,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,space,14.3298
