resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,10.717,space,27.9704,space,16.0863,,0,0,0,0,7,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,3,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.6395,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,11,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.5221,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,13,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.4054,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,0,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.5012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,1,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.4575,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,2,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.3724,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,12,1,X,space,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,0.4382,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,8,8,14,1,K,none,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,9,1,V,none,WRO101,001,,2024-04-17_14h42.34.780,Trial go no go,2020.2.10,MacIntel,60,IwZXh0bgNhZW0CMTAAAR1-Mhz30feNU64iW6Es1ez4vV2DGzkIv6PmQmK0UbZcyLQfKBvWGUwOtMw_aem_ASn3m2Z4IYEN3vOk7A5A4eeM6PTXot8dO1xM3r5tqo7-sm5mqSnWlJFf20E_fw5iuuwTlbSkbFPu5tRWovzBSOPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
