resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,11.9849,space,17.7386,space,7.3492,space,1,0.7009,0,0,0,0,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6364,0,1,1,7,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5992,0,2,2,12,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4777,0,3,3,13,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4722,0,4,4,10,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.2895,0,5,5,3,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4315,0,6,6,8,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4108,0,7,7,11,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,8,8,14,1,K,none,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3716,0,9,9,1,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4635,0,10,10,2,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,11,11,4,1,W,none,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,12,12,9,1,V,none,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5617,0,13,13,6,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4529,0,14,14,5,1,X,space,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,space,4.0294,space,1,0.4997,0,0,0,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.5335,0,1,1,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO111,001,,2024-06-06_08h13.36.767,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3836,0,2,2,47,1,X,space,,,,,,,,,,,,,,
