resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,25.2785,space,31.0226,space,12.9191,,0,0,0,0,12,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.5666,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,8,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,3,3,4,1,W,none,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,10,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.6935,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,1,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4881,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,5,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4563,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,3,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4697,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,0,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4686,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,14,1,K,none,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,7,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4986,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,13,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4862,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,2,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4652,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,13,13,9,1,V,none,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,6,1,X,space,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,0.4474,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,space,9.1717,space,1,0.5864,0,0,0,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.6668,0,1,1,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3495,0,2,2,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,3,3,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3075,0,4,4,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3672,0,5,5,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3686,0,6,6,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3851,0,7,7,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3421,0,8,8,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.381,0,9,9,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3518,0,10,10,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3404,0,11,11,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3666,0,12,12,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3494,0,13,13,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3452,0,14,14,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0.3392,0,15,15,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4092,0,16,16,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4652,0,17,17,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4365,0,18,18,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3718,0,19,19,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,20,20,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3278,0,21,21,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4003,0,22,22,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3678,0,23,23,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,24,24,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO115,001,,2024-06-27_08h10.33.353,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3212,0,25,25,36,1,X,space,,,,,,,,,,,,,,
