resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,9.2248,space,17.1996,space,9.8027,space,1,0.7642,0,0,0,1,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,1,1,4,1,W,none,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5357,0,2,2,7,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4526,0,3,3,12,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,4,4,9,1,V,none,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4328,0,5,5,10,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5167,0,6,6,11,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4931,0,7,7,3,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4488,0,8,8,13,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,9,9,14,1,K,none,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4003,0,10,10,6,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5118,0,11,11,2,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4393,0,12,12,8,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4769,0,13,13,5,1,X,space,WRO72,001,WRO72,2023-11-15_12h29.47.189,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
