resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,12.3183,space,13.7415,space,11.2598,,0,0,0,0,1,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,1,1,9,1,V,none,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,10,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.4807,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,12,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,3,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.3978,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,13,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.4012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,8,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.4895,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,5,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.5002,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,7,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.4053,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,14,1,K,none,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,6,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.4285,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,11,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.6666,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,0,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,2,1,X,space,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,0.5416,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,14,14,4,1,W,none,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,space,11.1994,,1,0,0,0,44,1,F,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,1,1,42,1,X,space,0.2846,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,2,2,41,1,X,space,0.3437,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,3,3,0,1,X,space,0.247,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,4,4,32,1,X,space,0.282,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,5,5,23,1,X,space,0.2511,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,6,6,21,1,X,space,0.2523,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,0,0,7,7,29,1,T,none,0.2554,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,8,8,1,1,X,space,0.2832,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,9,9,43,1,X,space,0.2983,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,10,10,33,1,X,space,0.2958,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,1,0,11,11,19,1,K,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,0,0,12,12,34,1,N,none,0.2755,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,13,13,35,1,X,space,0.3664,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,14,14,8,1,X,space,0.3412,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,0,0,15,15,31,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,16,16,12,1,X,space,0.2806,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,17,17,15,1,X,space,0.2686,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,1,0,18,18,9,1,W,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,19,19,6,1,X,space,0.287,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,1,0,20,20,49,1,E,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,21,21,22,1,X,space,0.3322,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,22,22,36,1,X,space,0.2817,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,0,0,23,23,14,1,Y,none,0.2695,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,0,0,24,24,16,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,25,25,26,1,X,space,0.2944,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,26,26,45,1,X,space,0.2653,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,27,27,10,1,X,space,0.3119,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,28,28,7,1,X,space,0.3032,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,29,29,20,1,X,space,0.3218,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,30,30,40,1,X,space,0.3075,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,31,31,18,1,X,space,0.3284,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,32,32,27,1,X,space,0.3432,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,33,33,28,1,X,space,0.3469,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,34,34,46,1,X,space,0.3258,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,35,35,5,1,X,space,0.3503,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,36,36,47,1,X,space,0.3356,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,37,37,25,1,X,space,0.3767,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,38,38,17,1,X,space,0.3339,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,1,0,39,39,4,1,V,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,1,0,40,40,39,1,M,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,41,41,30,1,X,space,0.2708,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,42,42,13,1,X,space,0.3461,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,43,43,37,1,X,space,0.3701,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,44,44,48,1,X,space,0.4652,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,45,45,38,1,X,space,0.338,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,1,0,46,46,24,1,H,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,47,47,2,1,X,space,0.3832,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,48,48,11,1,X,space,0.3202,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,space,1,0,49,49,3,1,X,space,0.3032,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,z,15.3234,,0,0,0,0,40,1,R,space,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,1,1,45,1,A,space,0.2372,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,2,2,10,1,H,space,0.3865,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,3,3,12,1,L,space,0.2937,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,4,4,27,1,F,space,0.2973,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,5,5,41,1,T,space,0.335,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,6,6,43,1,I,space,0.3063,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,0,0,7,7,9,1,X,none,0.8527,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,0,0,8,8,31,1,L,space,,,
,,,,,,,,,,,,,,,WRO76,001,WRO76,2023-11-24_14h05.50.180,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,space,1,0,9,9,21,1,R,space,0.2988,,
