resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,6.024,space,18.8706,space,14.6099,,0,0,0,0,7,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,2,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.6113,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,12,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,0,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.3911,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,13,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.4219,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,5,5,4,1,W,none,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,6,6,9,1,V,none,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,7,7,14,1,K,none,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,8,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.5415,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,6,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.7605,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,5,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.5119,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,3,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.4347,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,10,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.4714,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,11,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.4093,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,1,1,X,space,WRO77,001,WRO77,2023-11-17_08h38.36.152,Trial go no go,2020.2.10,Win32,60,0.4347,,,,,,,,,,,,,,,,,,,,,,,,,,
