resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,12.258,space,27.226,space,15.359,,1,0,0,0,9,1,V,none,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,1,1,14,1,K,none,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,5,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,11,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.509,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,10,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,0,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,12,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,1,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,7,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,2,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,8,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,13,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,3,1,X,space,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,14,14,4,1,W,none,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA103,001,WWA103,2024-01-24_12h48.08.068,Trial go no go,2020.2.10,MacIntel,60,,space,3.941,space,1,0.758,0,0,0,40,1,X,space,,,,,,,,,,,,,,
