resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,23.7676,space,17.5045,space,15.2721,space,1,0.4451,0,0,0,8,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5559,0,1,1,1,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4269,0,2,2,10,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,9,1,V,none,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5406,0,4,4,0,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4768,0,5,5,5,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4919,0,6,6,6,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4875,0,7,7,2,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,8,8,14,1,K,none,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5215,0,9,9,3,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4209,0,10,10,7,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4714,0,11,11,11,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,12,12,4,1,W,none,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3667,0,13,13,13,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3704,0,14,14,12,1,X,space,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,space,6.7252,,1,0,0,0,39,1,M,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,1,1,18,1,X,space,0.5225,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,2,2,28,1,X,space,0.3192,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,3,3,2,1,X,space,0.3015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,1,0,4,4,49,1,E,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,5,5,12,1,X,space,0.2956,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,6,6,40,1,X,space,0.3213,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,7,7,41,1,X,space,0.3242,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,8,8,43,1,X,space,0.3275,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,9,9,36,1,X,space,0.3267,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,10,10,17,1,X,space,0.3196,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,11,11,20,1,X,space,0.2876,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,12,12,26,1,X,space,0.2522,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,13,13,22,1,X,space,0.2728,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,14,14,23,1,X,space,0.3205,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,15,15,48,1,X,space,0.2886,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,16,16,5,1,X,space,0.2721,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,,1,0,17,17,29,1,T,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,18,18,47,1,X,space,0.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,19,19,32,1,X,space,0.377,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,20,20,46,1,X,space,0.2854,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,21,21,15,1,X,space,0.269,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,22,22,42,1,X,space,0.2936,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,23,23,38,1,X,space,0.2745,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,24,24,3,1,X,space,0.2873,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,25,25,33,1,X,space,0.2678,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,26,26,25,1,X,space,0.2708,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA121,001,WWA121,2024-01-22_11h42.05.947,Trial go no go,2020.2.10,MacIntel,60,,,space,0,0,27,27,44,1,F,none,0.2819,,,,,,,,,,,,,,
