resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,1097.1976,space,13.7229,space,8.9036,space,1,0.5716,0,0,0,0,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7466,0,1,1,5,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4603,0,2,2,13,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.43,0,3,3,10,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5592,0,4,4,7,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4808,0,5,5,1,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,9,1,V,none,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.4819,0,7,7,4,1,W,none,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7719,0,8,8,3,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,9,9,14,1,K,none,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6321,0,10,10,6,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6329,0,11,11,11,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.458,0,12,12,8,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5238,0,13,13,2,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4129,0,14,14,12,1,X,space,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,space,4.4955,space,1,0.4445,0,0,0,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,1,,0,1,1,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA43,001,WWA43,2023-09-22_09h03.24.091,Trial go no go,2020.2.10,Win32,60,,,,1,,0,2,2,24,1,H,none,,,,,,,,,,,,,,
