resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,11.5664,space,15.3449,space,8.3201,,0,0,0,0,7,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,5,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,8,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.4105,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,10,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.3542,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,13,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.3666,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,5,5,9,1,V,none,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,2,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.5618,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,0,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.3691,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,1,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.4188,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,3,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.3679,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,11,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.4373,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,12,12,14,1,K,none,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,13,13,4,1,W,none,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.4801,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,12,1,X,space,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,0.5834,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,,space,2.6607,,0,0,0,0,47,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,1,1,3,1,X,space,0.4188,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,,,,,1,0,2,2,29,1,T,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA47,001,WWA47,2023-08-03_09h13.09.334,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,3,3,10,1,X,space,0.334,,,,,,,,,,,,,,
