resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,10.3875,space,18.0689,space,8.3055,,1,0,0,0,9,1,V,none,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,1,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.6053,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,5,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.5786,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,3,3,4,1,W,none,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.4389,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,0,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.6004,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,8,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.6359,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,13,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.5563,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,10,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.5528,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,12,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.4909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,2,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.4725,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,3,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.4543,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,11,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.4568,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,12,12,14,1,K,none,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,6,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,7,1,X,space,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,0.4686,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,space,7.387,,1,0,0,0,24,1,H,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,1,1,10,1,X,space,0.4279,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,2,2,26,1,X,space,0.335,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,3,3,35,1,X,space,0.3273,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,4,4,15,1,X,space,0.4037,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,5,5,47,1,X,space,0.3265,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA65,001,WWA65,2023-10-27_12h21.38.449,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0,6,6,16,1,X,space,0.3037,,,,,,,,,,,,,,
