resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,11.0835,space,22.818,space,23.0883,space,1,0.4628,0,0,0,5,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,1,1,14,1,K,none,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4156,0,2,2,2,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,9,1,V,none,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4154,0,4,4,1,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.359,0,5,5,3,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4361,0,6,6,7,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,4,1,W,none,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3902,0,8,8,6,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.403,0,9,9,10,1,X,space,WWA69,001,WWA69,2023-11-09_10h45.58.295,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
