resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,10.5543,space,15.6388,space,11.537,,1,0,0,0,4,1,W,none,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,1,1,14,1,K,none,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,11,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3022,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,8,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3655,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,3,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3231,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,2,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3059,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,6,6,9,1,V,none,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,1,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3649,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,13,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.5245,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,5,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.4069,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,6,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,10,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,0,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3376,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,12,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.2785,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,7,1,X,space,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,0.3177,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,space,5.3188,space,1,0.4721,0,0,0,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2859,0,1,1,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2389,0,2,2,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0.2378,0,3,3,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3834,0,4,4,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,5,5,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3394,0,6,6,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2766,0,7,7,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2732,0,8,8,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0.2811,0,9,9,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,,0,,0,10,10,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,,0,,0,11,11,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2754,0,12,12,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA72,001,WWA72,2023-11-08_15h28.48.430,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2846,0,13,13,12,1,X,space,,,,,,,,,,,,,,
