resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,36.7712,space,45.9698,space,38.104,space,1,0.712,0,0,0,7,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4877,0,1,1,11,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3879,0,2,2,1,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,14,1,K,none,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4014,0,4,4,3,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3917,0,5,5,6,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3536,0,6,6,10,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4103,0,7,7,12,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.4151,0,8,8,4,1,W,none,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5533,0,9,9,13,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3846,0,10,10,0,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.356,0,11,11,5,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,12,12,9,1,V,none,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3693,0,13,13,2,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4454,0,14,14,8,1,X,space,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,space,13.704,space,1,0.4092,0,0,0,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4704,0,1,1,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3353,0,2,2,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3345,0,3,3,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3729,0,4,4,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,5,5,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,6,6,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3525,0,7,7,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.5007,0,8,8,28,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3595,0,9,9,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4224,0,10,10,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3164,0,11,11,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3448,0,12,12,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.37,0,13,13,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,14,14,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4698,0,15,15,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3537,0,16,16,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,17,17,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3688,0,18,18,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4825,0,19,19,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3834,0,20,20,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4022,0,21,21,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3357,0,22,22,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3412,0,23,23,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,24,24,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.5543,0,25,25,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,26,26,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3368,0,27,27,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.5316,0,28,28,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4212,0,29,29,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,,1,,0,30,30,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.332,0,31,31,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.5552,0,32,32,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4345,0,33,33,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3953,0,34,34,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.4181,0,35,35,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3354,0,36,36,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3199,0,37,37,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3545,0,38,38,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3599,0,39,39,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA87,001,WWA87,2023-11-30_12h41.19.262,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0.3513,0,40,40,40,1,X,space,,,,,,,,,,,,,,
