stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,image_welcome.stopped,resp_Welcome.keys,resp_Welcome.rt,resp_Welcome.started,resp_Welcome.stopped,image_Instr_Intro.started,image_Instr_Intro.stopped,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Intro.started,resp_Instr_Intro.stopped,image_Instr_Prac1.started,image_Instr_Prac1.stopped,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_Instr_Prac1.started,resp_Instr_Prac1.stopped,text_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_trial_Prac1.rt,image_Instr_Test1.started,image_Instr_Test1.stopped,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_Instr_Test1.started,resp_Instr_Test1.stopped,text_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.started,resp_trial_Test1.stopped,image_Instr_Test2.started,image_Instr_Test2.stopped,resp_Instr_Test2.keys,resp_Instr_Test2.rt,resp_Instr_Test2.started,resp_Instr_Test2.stopped,text_trial_Test2.started,text_trial_Test2.stopped,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,key_resp_Test2.started,key_resp_Test2.stopped,image_theEnd.started,image_theEnd.stopped,resp_theEnd.keys,resp_theEnd.rt,resp_theEnd.started,resp_theEnd.stopped,participant,session,indywidualny kod,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,9.590907000005245,None,space,11.194176800083369,9.590907000005245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,,,,,,,,,,,,,,,,,,,,,21.298444400075823,None,space,19.35970349982381,20.80525470012799,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.672962199896574,None,space,22.227795700076967,40.18656519986689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
W,none,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,63.19037349987775,63.79667099984363,None,1,63.19037349987775,None,64.55506459996104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
X,space,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15106609975919,65.76088229985908,space,1,65.15106609975919,None,67.14297210006043,None,0.7386278002522886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
X,space,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,67.84219689993188,68.44158879993483,space,1,67.84219689993188,None,69.84062099969015,None,0.6281292997300625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
V,none,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,70.53956379974261,71.13929979968816,None,1,70.53956379974261,None,72.53759909979999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
K,none,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,73.23682820005342,73.83632709970698,None,1,73.23682820005342,None,75.25210670009255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
X,space,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,75.95116519974545,76.55068570002913,None,0,75.95116519974545,None,78.04211029969156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
X,space,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,78.64816309977323,79.24753669975325,None,0,78.64816309977323,None,80.64640450011939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
