resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,20.4437,space,4.7565,space,4.7923,space,1,0.5755,0,0,0,8,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5163,0,1,1,13,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4327,0,2,2,10,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,4,1,W,none,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.443,0,4,4,11,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,14,1,K,none,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.8283,0,6,6,0,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4169,0,7,7,6,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.402,0,8,8,12,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4513,0,9,9,2,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4209,0,10,10,3,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4495,0,11,11,7,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4841,0,12,12,1,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,13,13,9,1,V,none,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4147,0,14,14,5,1,X,space,wro64,001,,2023-08-30_09h02.07.188,Trial go no go,2020.2.10,MacIntel,60,IwAR3VhMNDIUixa3ywMN-9DSfczhiSQ8L9ytFZWc2Xai5UzT2wWpwDZlTaa-M,,,,,,,,,,,,,,,,,,,,,,,,,,
