resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,15.6667,space,24.2324,space,20.3915,space,1,0.7041,0,0,0,10,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5503,0,1,1,8,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3694,0,2,2,9,1,V,none,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4963,0,3,3,12,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4664,0,4,4,13,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4968,0,5,5,6,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,4,1,W,none,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.431,0,7,7,3,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3995,0,8,8,1,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3973,0,9,9,7,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3877,0,10,10,0,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5339,0,11,11,5,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3877,0,12,12,11,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4537,0,13,13,2,1,X,space,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3802,0,14,14,14,1,K,none,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,space,4.3449,space,1,0.6173,0,0,0,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,,1,,0,1,1,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,space,1,0.3676,0,2,2,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro69,001,,2023-10-16_11h00.55.828,Trial go no go,2020.2.10,MacIntel,60,IwAR1lpzRzgwvy8BhLb8FTyUULd88f_8vfeuA-BJvV7g6bVqrYEFPHxZ0sJE0,,,space,1,0.3851,0,3,3,36,1,X,space,,,,,,,,,,,,,,
