resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,7.7806,space,21.3855,space,10.5545,,0,0,0,0,1,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.5361,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,2,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.5345,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,10,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.4364,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,0,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.3887,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,7,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.3988,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,6,6,13,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.5869,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,12,1,X,space,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,0.3999,,,,,,,,,,,,,,,,,,,,,,,,,,
