resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,2.3147,space,1.1106,space,1.5357,,1,0,0,0,4,1,W,none,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,13,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,1.0003,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,6,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.6999,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,1,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.4197,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,0,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.3841,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,2,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.4839,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,6,6,14,1,K,none,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.6854,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,8,8,9,1,V,none,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.5067,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,7,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.5192,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,5,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.4842,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,3,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.4746,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,12,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.5864,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,11,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.4696,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,10,1,X,space,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,0.4861,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,space,2.0568,space,1,0.6139,0,0,0,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2875,0,1,1,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2359,0,2,2,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.0735,0,3,3,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.7209,0,4,4,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.4685,0,5,5,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3819,0,6,6,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,7,7,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2669,0,8,8,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2692,0,9,9,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2757,0,10,10,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2653,0,11,11,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3525,0,12,12,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3331,0,13,13,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3413,0,14,14,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.305,0,15,15,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,0,0.2284,0,16,16,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2971,0,17,17,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,0,0.3502,0,18,18,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.413,0,19,19,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3681,0,20,20,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,0,0.3287,0,21,21,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3158,0,22,22,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3431,0,23,23,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3184,0,24,24,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3254,0,25,25,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.289,0,26,26,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,0,0.319,0,27,27,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.4176,0,28,28,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3635,0,29,29,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3027,0,30,30,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.4683,0,31,31,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,,2023-07-11_17h48.32.040,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3386,0,32,32,17,1,X,space,,,,,,,,,,,,,,
