resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,16.4181,space,44.1561,space,13.5646,space,1,0.6204,0,0,0,6,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5174,0,1,1,10,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4507,0,2,2,1,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,4,1,W,none,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5509,0,4,4,8,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,9,1,V,none,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4689,0,6,6,13,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3917,0,7,7,5,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3442,0,8,8,0,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3933,0,9,9,7,1,X,space,PUM07K,001,PUM07K,2024-01-15_08h43.46.210,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
