resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,34.8927,space,27.0177,space,10.6434,,1,0,0,0,9,1,V,none,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.5813,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,3,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.4577,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,7,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,10,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.4354,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,5,5,14,1,K,none,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,2,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.3996,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,12,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.3831,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,1,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.3762,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,9,9,4,1,W,none,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.3906,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,6,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,5,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.5181,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,13,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.3611,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,8,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,0,1,X,space,PUM10K,001,PUM10K,2024-02-13_08h25.48.707,Trial go no go,2020.2.10,Win32,60,0.4326,,,,,,,,,,,,,,,,,,,,,,,,,,
