resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,14.9378,space,19.0741,space,16.6577,,0,0,0,0,10,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,1,1,4,1,W,none,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,0,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,2,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.4626,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,12,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.5322,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,5,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.4604,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,11,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.4944,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,8,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.3504,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.3948,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,9,1,V,none,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,1,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.5412,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,3,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,7,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.4581,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,13,1,X,space,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,0.4339,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,14,14,14,1,K,none,PUM11K,001,PUM11K,2024-02-26_07h59.47.316,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
