resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,13.4222,space,15.0232,space,8.4839,space,1,0.5927,0,0,0,3,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,1,1,14,1,K,none,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4778,0,2,2,2,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.459,0,3,3,0,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3585,0,4,4,8,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.407,0,5,5,6,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3826,0,6,6,11,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3753,0,7,7,10,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3585,0,8,8,1,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.353,0,9,9,12,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3505,0,10,10,13,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3282,0,11,11,5,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.301,0,12,12,7,1,X,space,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3598,0,13,13,9,1,V,none,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,4,1,W,none,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,space,2.4593,,0,0,0,0,2,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,1,1,31,1,X,space,0.2658,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,2,2,12,1,X,space,0.2249,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,3,3,42,1,X,space,0.2431,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,1,0,4,4,29,1,T,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,1,0,5,5,24,1,H,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,6,6,13,1,X,space,0.3033,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,,0,0,7,7,36,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,8,8,10,1,X,space,0.2003,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,9,9,27,1,X,space,0.2153,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM14K,001,PUM14K,2024-02-26_08h39.29.786,Trial go no go,2020.2.10,Win32,60,,,space,1,0,10,10,0,1,X,space,0.2339,,,,,,,,,,,,,,
