resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,3.1294,space,21.8372,space,15.2878,space,1,0.6182,0,0,0,8,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4041,0,1,1,1,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4163,0,2,2,7,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.4244,0,3,3,4,1,W,none,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7148,0,4,4,2,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,9,1,V,none,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4367,0,6,6,13,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4037,0,7,7,10,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.425,0,8,8,3,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3904,0,9,9,0,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3906,0,10,10,6,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3538,0,11,11,12,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4669,0,12,12,11,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,13,13,14,1,K,none,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4041,0,14,14,5,1,X,space,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,space,5.9593,space,1,0.4196,0,0,0,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4513,0,1,1,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2296,0,2,2,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.381,0,3,3,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,1,,0,4,4,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,1,,0,5,5,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2643,0,6,6,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.4188,0,7,7,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2849,0,8,8,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,1,,0,9,9,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,1,,0,10,10,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,1,,0,11,11,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.3059,0,12,12,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,,0,,0,13,13,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2112,0,14,14,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2582,0,15,15,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2812,0,16,16,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2736,0,17,17,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM19B,001,PUM19B,2023-11-17_08h50.55.358,Trial go no go,2020.2.10,Win32,60,,,space,1,0.2454,0,18,18,15,1,X,space,,,,,,,,,,,,,,
