resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,34.2695,space,22.3147,space,8.7764,,1,0,0,0,14,1,K,none,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,8,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.4957,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,7,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.4339,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,6,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,5,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.5009,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,0,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.4057,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,12,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.4069,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,1,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,11,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.4094,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,3,1,X,space,PUM20K,001,PUM20K,2024-03-07_08h28.48.417,Trial go no go,2020.2.10,Win32,60,0.5069,,,,,,,,,,,,,,,,,,,,,,,,,,
