resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,102.6888,space,4.9559,space,3.6601,space,1,0.7696,0,0,0,7,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4705,0,1,1,2,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4558,0,2,2,13,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6482,0,3,3,0,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4744,0,4,4,5,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4918,0,5,5,3,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.621,0,6,6,1,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,14,1,K,none,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5923,0,8,8,12,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4841,0,9,9,6,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4672,0,10,10,10,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4521,0,11,11,8,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.358,0,12,12,11,1,X,space,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0.3435,0,13,13,4,1,W,none,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,14,14,9,1,V,none,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,space,3.5783,,0,0,0,0,11,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,1,1,18,1,X,space,0.3333,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,2,2,38,1,X,space,0.3723,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,3,3,12,1,X,space,0.3333,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,4,4,26,1,X,space,0.2906,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,5,5,47,1,X,space,0.2672,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,6,6,28,1,X,space,0.2724,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,7,7,31,1,X,space,0.2836,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,0,0,8,8,19,1,K,none,0.2702,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,9,9,15,1,X,space,0.7092,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,,1,0,10,10,14,1,Y,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,11,11,35,1,X,space,0.2592,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,12,12,13,1,X,space,0.317,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,13,13,27,1,X,space,0.3373,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,14,14,21,1,X,space,0.3169,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,15,15,48,1,X,space,0.2719,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,16,16,1,1,X,space,0.2339,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,17,17,22,1,X,space,0.2861,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,18,18,0,1,X,space,0.2937,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,19,19,43,1,X,space,0.3007,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,20,20,3,1,X,space,0.2916,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,0,0,21,21,4,1,V,none,0.3167,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,22,22,7,1,X,space,0.517,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,23,23,25,1,X,space,0.3446,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,24,24,40,1,X,space,0.2881,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,25,25,46,1,X,space,0.31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,26,26,42,1,X,space,0.3168,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,27,27,20,1,X,space,0.2759,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,28,28,36,1,X,space,0.2519,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUM27K,001,PUM27K,2024-03-27_07h58.23.044,Trial go no go,2020.2.10,Win32,60,,,space,1,0,29,29,6,1,X,space,0.2261,,,,,,,,,,,,,,
