resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,12.2618,space,13.5816,space,10.384,,1,0,0,0,4,1,W,none,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,12,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.6336,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,2,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.3916,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,13,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,6,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.4266,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,10,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.4436,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,0,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.4611,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,7,7,9,1,V,none,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,1,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.4674,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,5,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.3536,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,8,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.5177,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,11,11,14,1,K,none,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,11,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.3734,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,7,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.3922,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,3,1,X,space,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,0.3606,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,space,6.8913,space,1,0.4337,0,0,0,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.5172,0,1,1,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3003,0,2,2,43,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3073,0,3,3,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3171,0,4,4,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,5,5,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,6,6,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3033,0,7,7,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3104,0,8,8,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3172,0,9,9,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3086,0,10,10,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2999,0,11,11,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2745,0,12,12,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3003,0,13,13,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,0,0.2998,0,14,14,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,15,15,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.417,0,16,16,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.5027,0,17,17,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.4618,0,18,18,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3561,0,19,19,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,20,20,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.4836,0,21,21,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3451,0,22,22,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,23,23,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3111,0,24,24,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3671,0,25,25,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.534,0,26,26,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,27,27,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3549,0,28,28,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3779,0,29,29,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3378,0,30,30,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PUM28B,001,PUM28B,2024-01-08_13h38.48.193,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3167,0,31,31,18,1,X,space,,,,,,,,,,,,,,
