resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,12.1611,space,13.1664,space,12.8667,,0,0,0,0,5,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,1,1,14,1,K,none,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,6,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.5004,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,0,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3662,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,4,4,4,1,W,none,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,13,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.4117,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,7,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.4618,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,7,7,9,1,V,none,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,2,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3645,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,8,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3776,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,11,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3867,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,12,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3758,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,3,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3825,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,10,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,1,1,X,space,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,0.3685,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,space,7.699,space,1,0.3655,0,0,0,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3351,0,1,1,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,2,2,39,1,M,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2978,0,3,3,3,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,,1,,0,4,4,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3314,0,5,5,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3194,0,6,6,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.267,0,7,7,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2485,0,8,8,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2571,0,9,9,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3599,0,10,10,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,0,0.2426,0,11,11,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3246,0,12,12,7,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2676,0,13,13,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2992,0,14,14,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3374,0,15,15,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3102,0,16,16,35,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.284,0,17,17,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3004,0,18,18,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.3187,0,19,19,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2877,0,20,20,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2612,0,21,21,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2824,0,22,22,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WRO83,001,WRO83,2023-11-28_13h22.58.257,Trial go no go,2020.2.10,Win32,60,,,,space,1,0.2681,0,23,23,8,1,X,space,,,,,,,,,,,,,,
