resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,8.6635,space,13.9716,space,13.1543,space,1,0.5971,0,0,0,3,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6325,0,1,1,1,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6301,0,2,2,6,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5386,0,3,3,10,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4332,0,4,4,13,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,5,5,14,1,K,none,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6398,0,6,6,5,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,9,1,V,none,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6489,0,8,8,2,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4997,0,9,9,12,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4852,0,10,10,8,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,11,11,4,1,W,none,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4512,0,12,12,11,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3995,0,13,13,0,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5346,0,14,14,7,1,X,space,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,space,7.4671,,1,0,0,0,49,1,E,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,1,1,15,1,X,space,0.4181,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,2,2,10,1,X,space,0.4854,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,3,3,25,1,X,space,0.3854,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,4,4,42,1,X,space,0.3635,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,1,0,5,5,9,1,W,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,6,6,27,1,X,space,0.4073,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,7,7,21,1,X,space,0.4104,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,8,8,36,1,X,space,0.3161,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,9,9,45,1,X,space,0.3004,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,,1,0,10,10,19,1,K,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,11,11,23,1,X,space,0.4993,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,12,12,30,1,X,space,0.4154,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,13,13,7,1,X,space,0.3692,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,14,14,1,1,X,space,0.326,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,15,15,28,1,X,space,0.3909,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO86,001,WRO86,2023-12-19_14h19.22.788,Trial go no go,2020.2.10,Win32,60,,,space,1,0,16,16,18,1,X,space,0.3314,,,,,,,,,,,,,,
