resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,10.9633,space,27.5675,space,18.283,space,1,0.6848,0,0,0,7,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,1,1,4,1,W,none,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4839,0,2,2,13,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4654,0,3,3,5,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,4,4,14,1,K,none,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3976,0,5,5,1,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3505,0,6,6,0,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,9,1,V,none,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3797,0,8,8,6,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4419,0,9,9,12,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3856,0,10,10,8,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3763,0,11,11,11,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3284,0,12,12,2,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.3314,0,13,13,10,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4154,0,14,14,3,1,X,space,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,space,10.8728,,1,0,0,0,14,1,Y,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,1,1,28,1,X,space,0.3262,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,2,2,38,1,X,space,0.3208,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,3,3,22,1,X,space,0.3037,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,4,4,41,1,X,space,0.2643,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,5,5,47,1,X,space,0.343,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,6,6,25,1,X,space,0.2496,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,7,7,30,1,X,space,0.2366,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,8,8,23,1,X,space,0.2565,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,9,9,1,1,X,space,0.2716,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,0,0,10,10,34,1,N,none,0.2488,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,11,11,2,1,X,space,0.482,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,1,0,12,12,19,1,K,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,13,13,0,1,X,space,0.3964,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,1,0,14,14,49,1,E,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,15,15,5,1,X,space,0.3181,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,16,16,27,1,X,space,0.3971,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,17,17,13,1,X,space,0.3625,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,18,18,10,1,X,space,0.3155,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,19,19,45,1,X,space,0.2978,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,20,20,7,1,X,space,0.2994,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,,1,0,21,21,44,1,F,none,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,22,22,17,1,X,space,0.3387,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,23,23,37,1,X,space,0.3418,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,24,24,32,1,X,space,0.3072,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,25,25,36,1,X,space,0.2993,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WRO89,001,WRO89,2024-02-02_14h30.07.015,Trial go no go,2020.2.10,Win32,60,,,space,1,0,26,26,31,1,X,space,0.2914,,,,,,,,,,,,,,
