resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,7.5403,space,10.0387,space,9.3875,space,1,0.5644,0,0,0,8,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6239,0,1,1,5,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4994,0,2,2,7,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,3,3,9,1,V,none,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5117,0,4,4,2,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5341,0,5,5,0,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,14,1,K,none,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5676,0,7,7,12,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.54,0,8,8,1,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5471,0,9,9,3,1,X,space,WRO92,001,,2024-02-22_08h52.32.784,Trial go no go,2020.2.10,MacIntel,60,IwAR2dq6wCE_KoPa_GJJmT51JHAUWGSE8gVmZBCK6vI5dVoOeT6fo_PC25p5A,,,,,,,,,,,,,,,,,,,,,,,,,,
