resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,12.3824,space,21.3691,space,13.4844,,1,0,0,0,9,1,V,none,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,8,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.5792,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,2,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.5529,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,1,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,12,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.5794,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,5,5,4,1,W,none,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,5,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.5334,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,10,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.5179,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,0,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.5186,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,9,9,11,1,X,space,WWA100,001,WWA100,2023-12-13_10h23.52.996,Trial go no go,2020.2.10,MacIntel,60,0.4509,,,,,,,,,,,,,,,,,,,,,,,,,,
