resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,12.366,space,8.8353,space,4.0358,space,1,0.5671,0,0,0,10,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6074,0,1,1,7,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4286,0,2,2,3,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4375,0,3,3,5,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.525,0,4,4,8,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.504,0,5,5,0,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,9,1,V,none,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4497,0,7,7,1,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,8,8,4,1,W,none,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4114,0,9,9,12,1,X,space,WWA108,001,WWA108,2024-02-13_11h11.53.914,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
