resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,20.504,space,13.476,space,6.571,space,1,0.541,0,0,0,3,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.527,0,1,1,13,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.451,0,2,2,1,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.352,0,3,3,12,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.393,0,4,4,2,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.367,0,5,5,5,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.377,0,6,6,8,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,7,7,14,1,K,none,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,8,8,9,1,V,none,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,9,9,4,1,W,none,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.389,0,10,10,0,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.492,0,11,11,11,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.367,0,12,12,6,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.485,0,13,13,10,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.401,0,14,14,7,1,X,space,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,space,7.339,,0,0,0,0,18,1,X,space,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,1,1,0,1,X,space,0.427,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,2,2,46,1,X,space,0.257,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,3,3,15,1,X,space,0.303,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,4,4,48,1,X,space,0.301,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,5,5,40,1,X,space,0.278,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,6,6,11,1,X,space,0.254,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,7,7,25,1,X,space,0.31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,8,8,43,1,X,space,0.267,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,9,9,13,1,X,space,0.286,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WWA131,001,WWA131,2024-02-14_12h05.18.141,Trial go no go,2020.2.10,MacIntel,60,,,space,1,0,10,10,10,1,X,space,0.267,,,,,,,,,,,,,,
