resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,10.3024,space,22.6717,space,33.6737,,1,0,0,0,9,1,V,none,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,6,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.6504,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,2,2,4,1,W,none,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,3,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.4731,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,11,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,0,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,2,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.4233,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,7,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.4747,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,5,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.3381,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,14,1,K,none,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,13,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.3948,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,8,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.3755,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,1,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,12,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.2672,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,10,1,X,space,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,0.3573,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,space,20.638,space,1,0.3736,0,0,0,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4518,0,1,1,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2383,0,2,2,40,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,3,3,14,1,Y,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3338,0,4,4,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0.3642,0,5,5,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,0,,0,6,6,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,7,7,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2832,0,8,8,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.523,0,9,9,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3118,0,10,10,42,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3504,0,11,11,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3195,0,12,12,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,0,0.2776,0,13,13,34,1,N,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3986,0,14,14,10,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4771,0,15,15,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3841,0,16,16,21,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3029,0,17,17,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3072,0,18,18,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,19,19,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3489,0,20,20,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3768,0,21,21,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3866,0,22,22,15,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA57,001,WWA57,2024-02-14_11h05.46.242,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3884,0,23,23,3,1,X,space,,,,,,,,,,,,,,
