resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_trial_Test1.rt,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,31.0718,space,20.5471,space,5.8105,,0,0,0,0,2,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,7,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.5059,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,12,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3743,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,5,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3871,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,10,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3927,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,5,5,14,1,K,none,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,1,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3918,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,6,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.5541,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,3,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3369,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,9,1,V,none,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,10,10,11,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3344,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,8,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.4071,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,12,12,4,1,W,none,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,13,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.3481,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,0,1,X,space,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,0.419,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,WWA85,001,WWA85,2023-12-19_10h41.51.236,Trial go no go,2020.2.10,MacIntel,60,,space,7.7569,,1,0,0,0,34,1,N,none,,,,,,,,,,,,,,
