resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,resp_theEnd.keys,resp_theEnd.rt
space,6.0729,space,17.9026,space,8.8168,,0,0,0,0,11,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,0,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.5671,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,6,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3674,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,7,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3923,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,12,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3678,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,5,5,14,1,K,none,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,1,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3813,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,3,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3271,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,8,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3685,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0,0,9,9,9,1,V,none,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,10,10,4,1,W,none,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,10,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.4152,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,12,12,5,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.4438,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,13,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.3607,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,2,1,X,space,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,space,7.1702,space,1,0.7096,0,0,0,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.6573,0,1,1,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.4007,0,2,2,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,3,3,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.3521,0,4,4,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,,1,,0,5,5,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,hania,001,111,2023-07-13_10h35.56.829,Trial go no go,2020.2.10,MacIntel,60,,,,space,1,0.2398,0,6,6,0,1,X,space,,,,,,,,,,,,,,
