resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,17.2161,space,32.2294,space,11.5924,,0,0,0,0,0,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,1,1,11,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.4893,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,2,2,7,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.3683,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,3,3,13,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.3513,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,4,4,1,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.4833,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,5,5,2,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.4654,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,6,6,10,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.384,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,7,7,3,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.3491,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,8,8,6,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,9,9,4,1,W,none,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,10,10,9,1,V,none,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,11,11,8,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.4116,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0,12,12,14,1,K,none,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,13,13,5,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.4264,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0,14,14,12,1,X,space,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,0.6163,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,space,18.5522,space,1,0.5146,0,0,0,5,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,1,,0,1,1,4,1,V,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,space,1,0.359,0,2,2,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,1,,0,3,3,24,1,H,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,space,1,0.3261,0,4,4,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,1,,0,5,5,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,space,1,0.2961,0,6,6,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,,1,,0,7,7,29,1,T,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,space,1,0.2407,0,8,8,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,space,1,0.597,0,9,9,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro65,001,,2023-09-13_14h34.47.586,Trial go no go,2020.2.10,MacIntel,60,IwAR0HVFKXOAArlYFSOOkLlfb8-noU35LSlTwWeLW7WzQM5sbCVbZ6gCA177U,,,,space,1,0.2831,0,10,10,36,1,X,space,,,,,,,,,,,,,,
