resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
space,13.6033,space,34.0877,space,22.7178,space,1,0.8264,0,0,0,11,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,1,1,9,1,V,none,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.7135,0,2,2,8,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,1.0864,0,3,3,7,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,4,4,14,1,K,none,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4964,0,5,5,12,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,0,6,6,4,1,W,none,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.6137,0,7,7,13,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5155,0,8,8,6,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4576,0,9,9,10,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.434,0,10,10,2,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.5151,0,11,11,1,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4153,0,12,12,0,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4495,0,13,13,5,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1,0.4222,0,14,14,3,1,X,space,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,space,17.3725,space,1,0.6022,0,0,0,48,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3534,0,1,1,27,1,X,space,,,,,,,,,,,,,,
